filepath,subject,mode,capture_label,predicted_label,final_label,reviewed
raw/manual_upload/2a5c2135405f3f7fbdd31a2692bad8fa.jpg,manual_upload,upload,,neutral,neutral,True
raw/manual_upload/8392a01dbbc9bea60c97b8eb584a8882.jpg,manual_upload,upload,,neutral,sadness,True
raw/manual_upload/9b5ea8d749c81b91e388b19212dcfdc0.jpg,manual_upload,upload,,neutral,contempt,True
raw/manual_upload/bb06cc4b75daf40224101c64137058bb.jpg,manual_upload,upload,,neutral,surprise,True
raw/manual_upload/c694ef7c21b0d27a42628d700025b903.jpg,manual_upload,upload,,neutral,anger,True
raw/manual_upload/f7730946508ae20b704ee825f4b6b4fa.jpg,manual_upload,upload,,neutral,happiness,True
raw\user5\s20260528_221649\0001.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0002.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0003.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0004.jpg,user5,posed,happiness,fear,happiness,True
raw\user5\s20260528_221649\0005.jpg,user5,posed,happiness,fear,happiness,True
raw\user5\s20260528_221649\0006.jpg,user5,posed,happiness,fear,happiness,True
raw\user5\s20260528_221649\0007.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0008.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0009.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0010.jpg,user5,posed,sadness,fear,sadness,True
raw\user5\s20260528_221649\0011.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0012.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0013.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0014.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0015.jpg,user5,posed,anger,fear,anger,True
raw\user5\s20260528_221649\0016.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0017.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0018.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0019.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0020.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0021.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0022.jpg,user5,posed,contempt,neutral,neutral,True
raw\user5\s20260528_221649\0023.jpg,user5,posed,contempt,neutral,neutral,True
raw\user5\s20260528_221649\0024.jpg,user5,posed,contempt,neutral,neutral,True
raw\user5\s20260528_221649\0025.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0026.jpg,user5,posed,neutral,sadness,neutral,True
raw\user5\s20260528_221649\0027.jpg,user5,posed,neutral,sadness,neutral,True
raw\user5\s20260528_221649\0028.jpg,user5,posed,happiness,anger,happiness,True
raw\user5\s20260528_221649\0029.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0030.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0031.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0032.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0033.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0037.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0038.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0039.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0040.jpg,user5,posed,anger,sadness,anger,True
raw\user5\s20260528_221649\0041.jpg,user5,posed,anger,sadness,neutral,True
raw\user5\s20260528_221649\0042.jpg,user5,posed,anger,sadness,anger,True
raw\user5\s20260528_221649\0043.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0044.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0045.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0046.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0047.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0048.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0049.jpg,user5,posed,contempt,neutral,neutral,True
raw\user5\s20260528_221649\0050.jpg,user5,posed,contempt,neutral,neutral,True
raw\user5\s20260528_221649\0051.jpg,user5,posed,contempt,anger,contempt,True
raw\user5\s20260528_221649\0052.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0053.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0054.jpg,user5,posed,neutral,sadness,neutral,True
raw\user5\s20260528_221649\0055.jpg,user5,posed,happiness,anger,happiness,True
raw\user5\s20260528_221649\0056.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0057.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0058.jpg,user5,posed,surprise,anger,surprise,True
raw\user5\s20260528_221649\0059.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0060.jpg,user5,posed,surprise,fear,surprise,True
raw\user5\s20260528_221649\0061.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0062.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0063.jpg,user5,posed,sadness,anger,sadness,True
raw\user5\s20260528_221649\0064.jpg,user5,posed,anger,anger,anger,True
raw\user5\s20260528_221649\0065.jpg,user5,posed,anger,anger,anger,True
raw\user5\s20260528_221649\0066.jpg,user5,posed,anger,anger,anger,True
raw\user5\s20260528_221649\0067.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0068.jpg,user5,posed,disgust,fear,disgust,True
raw\user5\s20260528_221649\0069.jpg,user5,posed,disgust,fear,disgust,True
raw\user5\s20260528_221649\0070.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0071.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0072.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0073.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0074.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0075.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0076.jpg,user5,posed,neutral,anger,neutral,True
raw\user5\s20260528_221649\0077.jpg,user5,posed,neutral,sadness,neutral,True
raw\user5\s20260528_221649\0078.jpg,user5,posed,neutral,anger,neutral,True
raw\user5\s20260528_221649\0079.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0080.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0081.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0082.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0083.jpg,user5,posed,surprise,fear,surprise,True
raw\user5\s20260528_221649\0084.jpg,user5,posed,surprise,anger,surprise,True
raw\user5\s20260528_221649\0085.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0086.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0087.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0088.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0089.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0090.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0091.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0092.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0093.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0094.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0095.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0096.jpg,user5,posed,fear,neutral,fear,True
raw\user5\s20260528_221649\0097.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0098.jpg,user5,posed,contempt,sadness,contempt,True
raw\user5\s20260528_221649\0099.jpg,user5,posed,contempt,anger,contempt,True
raw\user5\s20260528_221649\0100.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0101.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0102.jpg,user5,posed,neutral,neutral,neutral,True
raw\user5\s20260528_221649\0103.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0104.jpg,user5,posed,happiness,neutral,happiness,True
raw\user5\s20260528_221649\0105.jpg,user5,posed,happiness,fear,happiness,True
raw\user5\s20260528_221649\0106.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0107.jpg,user5,posed,surprise,surprise,surprise,True
raw\user5\s20260528_221649\0108.jpg,user5,posed,surprise,neutral,surprise,True
raw\user5\s20260528_221649\0109.jpg,user5,posed,sadness,sadness,sadness,True
raw\user5\s20260528_221649\0110.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0111.jpg,user5,posed,sadness,neutral,sadness,True
raw\user5\s20260528_221649\0112.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0113.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0114.jpg,user5,posed,anger,neutral,anger,True
raw\user5\s20260528_221649\0115.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0116.jpg,user5,posed,disgust,neutral,disgust,True
raw\user5\s20260528_221649\0117.jpg,user5,posed,disgust,sadness,disgust,True
raw\user5\s20260528_221649\0118.jpg,user5,posed,fear,sadness,fear,True
raw\user5\s20260528_221649\0119.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0120.jpg,user5,posed,fear,anger,fear,True
raw\user5\s20260528_221649\0121.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0122.jpg,user5,posed,contempt,neutral,contempt,True
raw\user5\s20260528_221649\0123.jpg,user5,posed,contempt,neutral,contempt,True
